overall,vote,reviewTime,reviewerID,asin,reviewText,summary,negative,neutral,positive,compound
1.0,2,2016-04-12,AR9DUM5B08LH7,B00000IUA0,"blue container is hard for children to open as well as the eggs! one egg has already broken, the inside shape came out. very disappointed!",very disappointed!,0.268,0.665,0.067,-0.7489
3.0,,2016-02-19,A11A83SM55W8M7,B00000IUYM,"not what i remembered similar logs being. slippery and hard to use for my child. ended up in a box, neglected. maybe in 2 years (age 5 then)?",ended up neglected,0.179,0.821,0.0,-0.5859
1.0,,2015-11-18,A1ICUJV052H9BP,B00000IUA0,"sorry to say, this product is not friendly for little fingers.  extremely hard to open, both the blue ""carton"" box and the eggs.",not successful,0.211,0.789,0.0,-0.5199
1.0,4,2014-05-03,A6JIE7VPFRJ15,B00000IUXC,"when my child was in it and would crawl forward the whole tent tipped over, scaring my little guy.  he was too scared to get into it ever again",terrible,0.177,0.823,0.0,-0.7003
2.0,,2015-02-27,A1TYU80JIAN8FU,B00000IUA0,"small packaging,  plastic outer part broke within 2 days and is extremely hard to open",two stars,0.272,0.728,0.0,-0.5413
2.0,,2014-12-22,A1JDAY18RW2321,B00000IUA0,"good idea. bad design. the eggs are hard to open (even for adults). the case is cheap plastic. the latch is tricky to use. my child wants to like this product, but she keeps getting frustrated.",eggs hard to open. latch is difficult.,0.217,0.697,0.086,-0.6858
1.0,,2012-07-12,AX6IR6ZAJLQRC,B00000IUXC,"this tent is really cheap, and i dare to say it's dangerous for kids, it arrived with brown stains (like it was used) and one of the poles set was broken, it went directly to trash because i don't want to return it and make them able to send it again to another kid. awful, awful, awful!!!",bad quality,0.261,0.739,0.0,-0.946
2.0,6,2012-12-30,AQE1SEK9U55JG,B00000IVAB,"the loom is a bare-bones loom, and the instructions are difficult even for an adult to understand. my daughter weaved about 8 lines with my help and just lost interest as you constantly need to rethread new yarn because it comes in strands rather than a continuous loop. waste of money.",too difficult,0.196,0.706,0.098,-0.5719
2.0,2,2015-01-30,A2MPRSY5JMQUSE,B00000IV3X,it was not clearly described that you have to remove one heddle then reinsert it onto the warp. my granddaughter has difficulty in doing this step.,not clearly described,0.163,0.837,0.0,-0.5659
2.0,,2015-05-16,A1WIP1RKJCU7XA,B00000ISC5,"so i guess this is a decent item but comes with draw backs. first one died which was hard to tell my 5 year old. while the process of watching all this is fun it is terrible when you put the time in and are not there to see them hatch. you have to except that you are basically buying a caterpillar that will become a butterfly when you are at work and your child will be angry he missed it, upset when they have to leave and confused when one ""just keeps sleeping"".  not worth it if you ask me.",wouldnt buy again,0.244,0.719,0.038,-0.9698
1.0,,2015-05-16,AJZPE480NJW8L,B00000ISC5,the code to receive the live butterflies did not work. when i tried to contact the company- it was impossible to get someone on the phone and got no reply from the email i sent. waste of money.,waste of money,0.128,0.872,0.0,-0.6124
2.0,,2015-03-30,AJUOQ0SQ97R6E,B00000ISC5,"i have not used my butterfly gardens yet, but i have high hopes that it is going to be amazing.  the negative review is because the enclosed certificate is basically useless.  i ordered 3 of these and 3 of the ladybug farms and my certificates did not work because you are not allowed to bundle the certificates with any other products.  ie - maybe the certificates work if you redeem them individually with no other products, but otherwise no go.  this is a problem if you are buying more than one because you need to have them shipped 2nd day air.  obviously, if you don't bundle the order, you'll spend more than the certificates are worth in shipping.  if you do standard lead-time, from the time you order until the time you have a hatched butterfly is about 5 to 8 weeks.  i just dropped another $150 on actual bug larvae in addition to the gardens/farms i purchased.",certificate is basically useless,0.107,0.826,0.067,-0.7684
1.0,3,2014-11-26,A3TE4UNJJPL78N,B00000IWDR,"beware: this is not the older version of the game that is pictured in this seller's (buyforlessuk) 2nd and 3rd photos.  (the version where you pick a card and all the peopl flip up or collapse down flat.) if you want the older version, you will be disappointed.  the version i received is the one pictured in the first photo; it has doors that open left to right and two rows of faces at the top of each board.  i loved the original version of this game as a kid; that's what i was hoping to buy here, but this was not it.  good luck.",not as pictured--beware of what you're ordering!,0.095,0.827,0.078,-0.6032
3.0,,2014-11-18,A17I3UQ44PE3B8,B00000IWDR,"the new version is cheap and kind of annoying to open and close. also, there are only about 5 women to chose from. on the other hand, you can swap out the people for animals or some other pages that you can download from their website, but expect poor image quality and images to choose from.",preferred the original... but with more women characters,0.102,0.863,0.035,-0.6183
1.0,,2015-09-08,A2RVY3KUY31JY2,B00000IVZJ,dumb game...tap one block a few at a time fall...takes about 3 hits with the little hammer and all fall down!,dumb game.,0.289,0.711,0.0,-0.7574
2.0,,2016-10-18,A749H1682VV47,B00000IURZ,disappointed. lasted 11 days. stitching in seam came apart and can no longer use,two stars,0.306,0.694,0.0,-0.6486
2.0,2,2011-12-11,A3P7E4RXTT0YQR,B00000IWDR,"i had this game as a child. yes i found it odd that there were far more men than women, but i don't remember it being a horrid thing nor do i remember thinking ""oh, women must not be as valuable"". i think that's taking it a bit far, it's just a game with cartoon faces. i liked the silly beards, hats, faces etc. when we were a bit older 7+ or so we banned the gender question all together because it made the game last longer and we had to ask more specific questions, such as ""does your person have long eyelashes?"" or ""does your person have rosey cheeks?"". it was a fun game, one i remember very fondly, so of course i was excited to see this on the shelf at my local toy store. i purchased the latest version of guess who? for my kids. i was extremely disappointed with the quality of this game. flimsy paper pictures of the characters, cheap plastic tiles for the game board, the game board itself where all the small plastic tile with pictures go was crappy low quality plastic. the plastic tile pieces just snap on, but do not stay on. they pop off constantly in the middle of the game, which screws up the game if you try and put it on then three other faces fall or pop off in the process, or they go on crooked. even when you flip the tiles down there is an issue. the row in front is too close to the row behind so when you flip a tile down from the back rows they land on or get stuck on the row in front of them...meaning you have to move the front tile up so the back tile will go down. that causes, of course, the tiles in front to pop off sometimes.
i don't know why or when they changed the style of this game but it's a complete rip off. the game i played as a child was well made with a thick plastic base, and tiles that were hooked well into the base, the tiles never bumped each other as you flipped them down, and the pictures rested securely and flat inside each tile, not bowed out and folded (after much use) in the tiles.

this game is such a waste of money. i will now begin what i'm sure is a long search for an original game from 1989-1995 through collectors, ebay and other places where i might find an original. i'm so disgusted that this is the way things have gone w/toys and games these days. cheap materials, crappy workmanship, poor execution in design and a jacked up price-tag!",what ever happened to well made games/toys?,0.096,0.824,0.08,-0.9134
3.0,,2015-06-03,AP3LGOWC10M9L,B00000IVZJ,one block of ice was missing.,three stars,0.56,0.44,0.0,-0.6249
1.0,,2014-05-04,ACZHFVM9R5LLO,B00000IUX7,"not sturdy, the poles broke through... ended up seeing the same on group on for half the price... didn't buy it since knew what poor quality this was, we returned it",broke within a month,0.169,0.831,0.0,-0.7096
3.0,,2015-02-20,A2NHCNVU23AQI6,B00000IURZ,my son absolutely loved this. he seemed put together well but didn't last too long. my son would drag it from room to room and after a few days one of the poles bent and it was done. i gave 3 stars but almost gave it 2 because it broke so fast. i realize that it was not meant to be used as my son was using it but really?  three days?!!,good while it lasted.,0.094,0.85,0.056,-0.5924
1.0,3,2014-11-22,A108TM6JIPEPIC,B00000IVZJ,"this is pretty much my least favorite game that my children have ever owned. first of all, it is a serious pain to set up, because you really have to work at getting the ""ice"" to fit in there. little kids cannot do it.

then, they bang on the friggin thing making the worst, most annoying sound other than nails on a chalkboard and incessant whining). this sound literally goes through my bones and i have a high tolerance for kid toy sounds.

not surprisingly, this game has mysteriously disappeared. forever.",hate this game with every fiber in my being,0.175,0.749,0.077,-0.8427
1.0,2,2014-08-07,A1UK2PK6112TQ,B00000ISC5,"this is very popular with teachers, however unless you live in california, where these larva are shipped from, as soon as you release the butterflies they will die. these butterflies are not from the northern or eastern parts of america and they will not survive. yes the children get to see the life cycle of a butterfly but you raise these butterflies to just to kill them.",dont buy unless you live in california where these buterflies live. otherwise you are just killing them.,0.142,0.83,0.027,-0.8619
3.0,,2014-03-30,A30PGMDIGWO7M4,B00000IVZJ,"i was a little disappointed with this game.  we had missing pieces, but we make shifted some sticks to hit the cubes out with.  it's a time consuming set up.  not a favorite.",it's okay,0.205,0.795,0.0,-0.6931
3.0,,2014-01-04,A3V8JC06U5BJ0L,B00000IVZJ,"super fun classic game.  but the level of quality in today's manufacturing of this game is not so great.  for example, my game had these problems:

- the two parts of the base don't fit together very well
- 3 of the springs that hold the ice blocks in place were bent such that they barely hold the ice in place
- the polar bear does not fit well into her ice block - she is difficult to get to stand up and falls over easily

i'm guessing they've cut corners over the years to keep/bring the price down.  and in 2013 the quality is suffering noticeably.  it's still fun, but the plastic is so cheap that it barely works as intended.","great game, but poorly made",0.204,0.675,0.121,-0.9261
2.0,,2013-12-30,AZ465RD6KYOW3,B00000IVZJ,"not really a lot to do for kids, would not buy it again. would not recommend it. i was very disappointed",not really pleased,0.245,0.755,0.0,-0.6708
1.0,,2014-06-25,AJLUZ1AA8Q1LY,B00000ISC5,"expensive and a little bit of a scam, with the mail in voucher for the caterpillars, plus $5 additional shipping charge.  do not recommend.",do not recommend.,0.217,0.783,0.0,-0.6753
3.0,,2014-05-13,A2KB9VJBOMIC4Y,B00000ISC5,"my kids (14, 9, 6, 1) didn't have any interest in this. i watched them more then the kids did and i was the one who ended up picking the flowers and spritzing the nectar. i wouldn't mind doing it again, but the refill caterpillars are too expensive and i don't think it's worth it. i'll probably just let the kids put other insects in the habitat if they want to catch and observe some little creatures. also, the little bloody juice that the butterflies squirt out when they come out, is really gross and it gets on the netting and is somewhat disturbing to look at and there isn't a good way to clean it with the butterflies in there. i wouldn't buy this again.",not as exciting as i thought it would be,0.139,0.824,0.037,-0.9308
1.0,44,2014-05-09,A2S3AFW7JZDQEQ,B00000ISC5,"i ordered this for my classroom. love the pop-up house and the packaging. after getting the box, i got online and ordered the caterpillars. they arrived in a timely fashion but they were very dead. i contacted insect lore and received a quick reply stating that the caterpillars would be sluggish upon arrival and to please wait. i knew they were dead but waited the prescribed time and contacted insect lore again about replacement caterpillars. i have not heard back from them after contacting the company 3 times. sad for my classroom. we will not have enough time before school gets out to grow another set of caterpillars now.",great product until you order the caterpillars,0.169,0.785,0.046,-0.9579
3.0,,2014-11-06,A9G6H6V4N2U6E,B00000IUD2,"not great, not bad, just ok",three stars,0.716,0.284,0.0,-0.7616
1.0,,2016-08-15,A5F6FBLFFGGJK,B00000IWDQ,"this is a frustrating game as it is sold as a child's game, yet adults can barely get it to play correctly. the shoddy plastic used is thin enough to make the jumping difficult and is vexing enough to make my children refuse to play.",not worth the time,0.202,0.706,0.092,-0.7003
3.0,,2014-02-14,A3ULQIUI1XS8XW,B00000IW3G,this is not quite the toy i had as a child.  the pieces either fall out or hardly fit in.  disappointing and frustrating for a child.,a little disappointed,0.208,0.713,0.079,-0.5617
1.0,3,2012-12-19,ABQEECVABW62E,B00000IW3G,i ordered this for my almost 2 year old because he is obsessed with the one at daycare with the glasses.  but the one we got had no glasses!  i feel very mislead!,no glasses!!!,0.145,0.855,0.0,-0.5767
2.0,,2013-07-08,AOJO45WDXRKRD,B00000ISC5,"we received the product as described, sent in the extra money for the caterpillars, etc. they showed up about 8 business days later which was disappointing, but nonetheless they were hopeful. we followed the instructions to the letter but 4 out of the 5 butterflies died which was heartbreaking for our daughter who received this as a birthday present.",kinda disappointing,0.166,0.767,0.067,-0.7615
3.0,,2013-03-08,AEB3WYQH39JJ1,B00000IWDQ,"it was partly made of cardboard....so disappointing.  won't last long with a 4 year old.
i would rather pay a few more dollars for a game that will last a little longer.",cardboard???,0.161,0.839,0.0,-0.5574
3.0,,2014-07-07,AB23NAN9AS9M9,B00000IS6S,"not great for outside living, if doing that get a all metal one.",radio flyer town and country wagon,0.23,0.77,0.0,-0.5096
2.0,,2016-01-25,A2AZ2DYBY94AEA,B00000IWDP,"ok game, but i ask myself why would i want a game that comes with tiny plastic beans? a poor choice if little pieces drive you nuts.",i'd pass,0.244,0.652,0.105,-0.7227
2.0,,2015-11-20,A1LXHBF5M7XGHP,B00000IWDP,"i probably wouldn't buy this again
the quality of the plastic isn't great and i don't think it will last long",not great quality,0.155,0.845,0.0,-0.5096
1.0,5,2004-05-16,A1I8XTYJHWX6N2,B00000IWHS,"i had expected a game even better than scrabble, but upwords is not!  games fizzle out in no time due to the small board and dullness of having to change words instead of create new ones.  unlike scrabble, there is no real vocabulary challenge.  i don't recommend this one at all.",disappointing!,0.199,0.698,0.103,-0.7655
2.0,,2015-03-13,A2FP77TBO4YI8C,B00000IWDP,"very poor quality product.  nothing like the original ventage game.  don't buy this game!!!!  we had to put weights on one side to balance it so the kids could play with it.  after playing with it one time, they were frustrated that it was so much work to make the balance so they could even begin.",don't buy this game.  find a vintage one.,0.182,0.755,0.063,-0.8331
1.0,2,2012-07-28,A1IZRHRQNF3HSQ,B00000ISC5,"the butterfly net was fine. but, it would of been better if we actually could get the butterflies! the insect lore company is terrible with customer service... absolutely horrible. i tried 5 times--no joke!--to get the free caterpillars per the coupon that came in the butterly net package. and 5 times was told to leave a message for customer service--no one ever called me back. and, 5 times was disappointed and left frustrated and angry that i couldn't get anyone to filful my order. i originally ordered the caterpillars online but for some reason my order didn't go through right. so, i got a letter in the mail saying to call or mail in payment again. i wanted to call thinking it would be easiest that way and 5 times got nothing. my daughter was sad over this because she so badly wanted it. oh, and at the final attempt, i asked the person on the phone who couldn't help me again and advised that i leave another message for customer service that insect lore did a big promotional campaign and because of that couldn't handle all the calls coming in for ordering--three words for insert lore: not my problem. if you say you sell something then sell it and treat your customers right because now, they lost me as a customer forever. so, buyer beware... if you want those free caterpillars get ready for headaches. i finally gave up and returned the net.",terrible service beware of ordering,0.148,0.748,0.104,-0.935
2.0,,2012-07-05,A2YADPR6BELCUP,B00000ISC5,"the item arrived right on time, but it wasn't clear to me that you have to order the caterpillars separately and you have to pay an additional $5.00 and pay postage to send in the form.  this might turn out to be really neat,educational, durable,we don't know yet- but it should show in big print that there's additional effort and cost required.  this stuff isn't easy to explain to an exicted 5 yr old",not exactly what we thought...,0.116,0.884,0.0,-0.7955
3.0,2,2012-05-01,A167FUOUFNS0CQ,B00000ISC5,"i bought one of these to raise and release some black swallowtail caterpillars i found at work last year. the kit itself is fine and does work to keep them safe from being eaten, but i dislike the fact you can order caterpillars through mail. it can't be very healthy for them and seems like a cruel thing to do. instead of paying $5 to ship sick or dead caterpillars look in your own backyard. do some research into what butterflies are in your area and plant host plants that those butterflies lay eggs on. then use the kit to raise and release your butterfly. better for the caterpillar and saves you from having upset kids.",cute but much better to find your own caterpillars,0.186,0.739,0.076,-0.9593
3.0,2,2017-07-19,A3H6XQ8JQI8IC0,B00000IVAM,"i guess i don't know what i expected with this one.  maybe some magnetized pieces so they are easier to keep in the box when not in play?  i love playing sequence and so do my kids, but with little ones, it was sometimes hard to keep track of all the loose pieces.",i love playing sequence and so do my kids,0.151,0.786,0.063,-0.5886
2.0,,2011-04-27,A1JVWHM9PGLU7G,B00000ISC5,"the caterpillars are not included and you have to pay $5.oo to get them shipped. what a joke. the tv commercial advertises ""call now and get 2 sets of caterpillars"", well, you have to pay extra and wait for them to be shipped! very disappointed! we haven't played with it yet. still waiting for the caterpillars!",beware...,0.148,0.782,0.07,-0.5866
3.0,5,2010-09-21,A3SCTD9WEB8PEZ,B00000ISC5,"our caterpillars weren't moving much upon arrival, but the instructions said that was normal.  so we followed everything to the dot, including waiting by the mailbox for the delivery!  the caterpillars' movements reduced to zero and eventually i decided they had passed on.  we did not get much out of this kit, unfortunately.  perhaps summer of 2010 was too hot for postal insects!  we did use the mesh cage several times capturing live butterflies in our garden.  even some fireflies.  got something out of it, i guess.",would've been so much fun,0.042,0.958,0.0,-0.5696
1.0,,2014-09-16,A3KLE26UY4KB48,B00000IWDN,"pieces break, not good storage for small pieces, too difficult to follow computerized voice and instruction for kids and adults. gave it away. don't recommend.",not good storage for small pieces,0.242,0.758,0.0,-0.7198
3.0,,2010-09-10,A1885UAX29RY9E,B00000IWDN,"electronic or not, battleship is a classic, but messy none the less. it's loud and annoying. learning to play the thing is half the battle.",battleship,0.306,0.57,0.124,-0.7943
3.0,,2014-09-17,A1WS9JWOTVF7FJ,B00000IWIT,"these are smaller containers then i expected.  they are also very hard to open.  the kids can't
open them and i have a lot of trouble.  there are other sets of play-doh (at toy r us) that are
bigger and better..",hard to open and small,0.112,0.888,0.0,-0.5256
2.0,,2012-06-30,A2H2JL14UZXUPZ,B00000IWIK,"i got this thinking it would a great little toy for my toddler, but i couldn't even get the hippos to 'eat' the balls. the mechanism keeps getting jammed, the balls keep getting stuck in between the hippo and the plastic dome... i got frustrated with it so i could only imagine the melt down with my child. it does say 4 and up, but i am well over 4 and i couldn't get the toy to work. waste of money, get the real one.",crappy version of the real thing,0.124,0.816,0.06,-0.765
1.0,,2016-06-24,A1B4JREBSEG3LG,B00000IUBJ,"if you had asked for my opinion of this toy when we first received it, i would have given you a four star review. it loses a star right off the bat for being over-priced. this toy has three features, a squeaker button, a star that clicks when you rotate it, and a clown that pops out of the box at the end of a musical performance when you twist the handle (jack in the box). i appreciated the basic color pattern and the fact the clown doesn't have a hinged door to hide in. i used to have a nice old fashioned jack in the box that could pinch your fingers on the hinge door. so this felt like an upgrade for my littlest guy.

so where did this item lose the next three stars? about 2 months of minimal play use from my 9 month old the star stopped clicking... it turned without resistance. i figured who cares? the clown is the star of this show anyways. then the clown decided to enter his terrible twos and refused to go to bed. well, he refused to get back in the box. my husband attempted to fix the toy but didn't have any success. he said at least whatever broke, broke inside and thus didn't give our little one pieces to choke on. so there's that at least!

i don't think i'm nit-picking. i have 3 little ones and i have tons of cool toys that we paid less than $20 for that have worked without fail since receiving or purchasing them back in 2012 for our first child. i don't think it's unrealistic to believe a $20 jack in the box should last for a long time.... now to dig through my parents attic and find that one with the pinching hinge.",not a quality toy,0.091,0.851,0.058,-0.8871
2.0,,2015-11-16,A262IRKAO8L9KJ,B00000IWD4,"child didn't get it. mom didn't see the fun in it either. maybe we're missing something? i'm a literature nut, the child reads quite well for her age but neither of us enjoyed this game.",mom didn't see the fun in it either,0.181,0.775,0.044,-0.6494
2.0,,2014-02-11,A1NCVDFNHQGYYR,B00000IUBJ,"i was excited to find this toy because it uses the winding motion of a jack-in-the-box but is sized for little fingers.  like all the tolo toys we have, it is bright and colorful, but we seem to have gotten a defective unit.  the little man pops up in the middle of the song (""this old man"") instead of at the end.  frustrating.  i notice also that our 2yo has trouble pushing the little man back down--he won't stay.  i can do it, but it takes a delicate touch, something toddlers do not have.  in addition, the squeaky button on the side is hard for little hands to push, and even in big hands it sometimes squeaks, sometimes not.  if it worked right it might be good, but as it is we are disappointed, and can't recommend it.",not tolo's finest hour,0.128,0.785,0.088,-0.7982
3.0,,2016-07-23,AI09YY2CTN0DF,B00000IV8D,this is a cute toy but i thought it was made of wood. that's my bad for not reading the description but the pieces were destroyed pretty quickly.,that's my bad for not reading the description but the pieces were ...,0.242,0.589,0.169,-0.5789
2.0,5,2011-09-22,AOUZJ7VPSRWZ2,B00000IWIT,not sure if i got a bad box but the quality of these was so bad i threw them out. i have had store bought play-dough previously and it was elastic and fun and fairly clean. this boxed set was gooey and did not shape well. it just made a mess and was not the same quality at all.,terrible quality,0.202,0.682,0.116,-0.6062
1.0,4,2006-12-30,A3NWN21HH5CEWZ,B00000IWH9,"i could not believe this ""deluxe"" version was so poorly made. i have a previous deluxe edition and this one doesn't even come close. the tile holders on the board are so shallow and made of flimsy plastic. the tiles constantly come out and mess up the board. the board itself is smaller, the turnstile isn't attached and the overall plastic on the board is cheaply made. i am so disappointed they charge $35 for this product and it is going back.  i am getting the onyx edition from barnes and noble instead.",poor quality - get the onyx edition!,0.069,0.9,0.032,-0.541
2.0,,2015-12-19,A25JUS1NRD97QI,B00000IVAK,"the number of red chips is not what its supposed to be. thought the bag of reds looked small upon opening. counted all of them out. 50 blue, 50 green, but only 35 red. what the hell.",missing red chips!,0.15,0.823,0.027,-0.8047
3.0,2,2010-11-22,A3ORZJVHPTURZ1,B00000IWD9,the card that the other person is supposed to guess won't stay in the slot. also all those loose cards have no where to go and fell all over the car.  the two pieces don't really click together for storage.,does't hold your card,0.106,0.894,0.0,-0.5423
1.0,2,2013-12-19,A30FFQAZHJQI9Q,B00000IWI1,"i am extremely disppointed in the fact that the i was not sent what was portrayed in the picture of the connect four game. i was under the impression that i would be sent an older game (still new in box). instead i received the newest version - which i could have purchased at my local rite aid for a lot less!!!! the newer styles just do not last!! i was very much so looking forward to the exact game that i played as a child with my sisters.
feeling nostalgic & moderately sad. :(",very diappointed,0.079,0.857,0.064,-0.5216
1.0,,2017-06-03,AT81WDLPUZKG2,B00000IZC9,"no instructions, you have to figure out how to build. very difficult. big bulky pieces, not permanent structure.",crap,0.238,0.762,0.0,-0.6115
1.0,,2017-05-12,AL66ZPT6Y2POU,B00000IZC9,so horrible. confusing to put together. unstable. wood splinters and can easily cause injury.,horrible wood quality,0.497,0.397,0.106,-0.8347
1.0,,2016-12-30,A189ESFSVYWEEA,B00000IZC9,wood is rough and splintery. holes and groves not cut correctly. marble does not flow smoothly and gets stuck and stopped a lot because of the poorly made cuts. if you have more time then money you could probably sand each piece and drill each hole and plane each grove to fix it.,wood is rough and splintery. holes and groves not ...,0.109,0.858,0.032,-0.5083
3.0,,2016-08-18,A1NW6WL4CH3XZN,B00000IZC9,this was a bit difficult for my 8 year old to do.  i was somewhat disappointed.,great for indoor playtime.,0.325,0.675,0.0,-0.6494
2.0,2,2016-07-12,A9MLVBQQD5VKG,B00000IZC9,"this is our second marble run we have bought. yes, our family is a bit obsessed.  it was rather disappointing though since the wood pieces weren't smooth which stopped the marbles. this defeats the purpose and made this a very unloved toy that has actually only been used 4-5 times since it's frustrating. our other marble run has been used countless times and is so much fun.",more a marble stop,0.173,0.726,0.101,-0.6882
1.0,,2016-02-11,ASV9FFBK6NYL5,B00000IZC9,"so roughly shaped that the marbles get stuck everywhere.  bulky, doesn't stay together at all.  wasted purchase.",wasted purchase.,0.257,0.743,0.0,-0.6369
3.0,,2016-02-09,A29DVUKWP42YJY,B00000IZC9,this is a sturdy toy that is fun if the parents have a lot of time and patience to put it together.  i feel like the instructions weren't very clear and children would have a hard time using this item alone.  my son was really young so we knew we would be doing it for him but it was still frustrating to his father and me.  it was also tough to use at times because there were some jagged edges on some of the holes so the marbles had a hard time going through them.,sturdy and fun if you have patience.,0.119,0.841,0.04,-0.6908
3.0,,2006-06-05,A29W85T2Q6AYCP,B00000IZOR,"like most one year olds, our daughter is obsessed with the phone!  i took me ages to find a simple toy phone for her.  i didn't want the cell phone type because they all make such irritating noises!  so i thought the chitter chatter phone would be perfect.  but like other folks have said, the receiver cord is so short!  the phone dangles down awkwardly in front of her when she hold it.  additionally, and this is no fault of fisher price, maeve is used to cordless style phones.  she's never seen a rotary phone so she wasn't as excited as i was!  oh, and p.s., to the lady who's child was strangling themselves with the phone in the crib, don't leave your child in the crib with toys.  that's so freakin' dangerous!",a bit of a let down...,0.151,0.79,0.059,-0.9257
1.0,,2015-12-20,A2QXMSPRRGCD3G,B00000IZC9,"horribly made, some holes weren't even drilled all the way through.  also very stinky.",not worth the money,0.34,0.66,0.0,-0.7346
1.0,,2017-05-19,ABRO5TYKLLF0C,B00000IWGQ,damaged upon arrival. the board was damaged to where the game pieces would not stay on the board. also the games box was not able to hold the game pieces from falling out when closed. terrible.,"arrived in terrible, unplayable condition.",0.247,0.753,0.0,-0.8591
3.0,,2015-03-12,A16DALJK22CI3E,B00000IZC9,"nice idea, but difficult to construct an actual maze without marvels getting stuck along the way.",three stars,0.288,0.534,0.178,-0.5362
1.0,,2015-03-11,A2ET5DWKR911WJ,B00000IZC9,i was really disappointed the normal size marbles didn't' fit through the blocks. the corner ones never seemed to work right.,i was really disappointed the normal size marbles didn't' fit through the blocks,0.303,0.697,0.0,-0.7509
1.0,,2014-01-29,A3V8VZF9K8PRYE,B00000IZL0,"when i got my slinky, my friend told me that they were supposed to last for a long time. i guess she had never had one before because it broke on the first day .i was trying to make it walk (which it doesnt) and it suddenly snapped in half .you can also break by it stretching it, trying to make it walk, and tying it into knots. though i think these ones are lame but the metal slinkys work a lot better.  these have very bad quality. i do not recommend this for anyone .i give it 2 stars.
 a 5th grader",bad quality!!!,0.109,0.835,0.056,-0.6912
1.0,,2013-12-25,A2WQVKAXFVZBX,B00000IZC9,"after three adults tried to construct this ""fun"" structure with a child everyone gave up in disgust.
it does not easily build the clever ramps and chutes that are shown.
it was a big disappointment and i have returned it.",what a disappointement.....don't waste your money on this.,0.204,0.73,0.066,-0.738
3.0,,2016-01-15,A3U17N3YHU9XNT,B00000IWGQ,this is a rather boring game for my 3 and 5 yr old.  they get bored before the game is over....,this is a rather boring game for my 3 and 5 yr old,0.216,0.784,0.0,-0.5267
3.0,3,2017-01-26,AG1BGQXBZEOSD,B00000IZKW,"it didn't slink out of the box, so we stretched it. now it has a knk in it. still works but doesn't sit pretty. i am going to hang it on my shepard hook to keep the squirrels off if my feeder.",101 uses of a slingy #48,0.081,0.919,0.0,-0.5334
1.0,2,2014-06-12,A2RAXN30DCOUX,B00000IZOX,"i had to return this twice because of damage either during packaging or shipping. both times identical damage as a plastic piece was broken in half, and the part at the bottom that turns was dented in so bad that it wasn't workable.",disappointed....,0.274,0.726,0.0,-0.9324
2.0,,2011-03-16,AZTET1TH75CL6,B00000IZOX,11 mos old received as christmas present. now at almost 14 mos she still can't figure it out and gets frustrated when it falls out of her hands or she pushes it over too far. it came with a dent in the metal chime cylinder (we have a different pattern). i plan on adding it to the garage sale pile.,1 yr old can't figure it out,0.057,0.943,0.0,-0.5267
1.0,,2015-03-15,A2C76IQUTVJ0OW,B00000IZOR,parents remember this but it doesn't make any noise or anything so its not as exciting as the rest of my sons toys.,parents remember this but it doesn't make any noise or ...,0.135,0.865,0.0,-0.5334
1.0,,2016-11-29,A256QQFGDPTWI9,B00000IZEM,"though this was highly recommended to me by many friends and neighbors, this was a disaster from day 1. the steering wheel would not stay in the car. there is a piece that is supposed to lock the steering wheel onto the car (through the front hood), as soon as it was put together my 10 month old went into the car, sat down, and promptly pulled the steering wheel out. that is not supposed to happen. additionally the front hood (yellow piece) wasn't sized properly and it would get pushed into the front hood area (instead of sitting on top) making it impossible for my daughter to open it. very disappointing.",though this was highly recommended to me by many friends and neighbors,0.064,0.892,0.044,-0.5267
1.0,3,2017-04-23,AHD8X9PYINUXC,B00000IZGI,this is a tiny slinky!! very useless does not bounce down the stairs...could have got this for a dollar at the dollar store. i expected for the price that it was a regular sized slinky.tjis is a miniature,tiny&useless,0.103,0.897,0.0,-0.5686
3.0,,2015-08-16,A17Y465UXZOJE3,B00000IZGI,"small, cute, but not as much fun as the full size one. a little ""stiff"" and not as flexible as the full size one.",but not as much fun as the full size one,0.202,0.726,0.073,-0.5502
3.0,,2014-11-23,A2TZ5JORWW8UQY,B00000IZGI,i didn't realize it was so small.  my bad.,my bad.,0.35,0.65,0.0,-0.5809
